Episodes,Full Dataset (Observed),Full Dataset (Conservative),50% Dataset (Observed),50% Dataset (Conservative),"Full Dataset (Obs, sec)","Full Dataset (Cons, sec)","50% Dataset (Obs, sec)","50% Dataset (Cons, sec)"
10,13.4h,21.6d,6.5h,6.2d,48087.60917881259,1863294.1375996128,23418.568110400156,535082.7956744133
50,2.8d,107.8d,1.4d,31.0d,240438.04589406296,9316470.687998064,117092.84055200078,2675413.9783720667
100,5.6d,215.7d,2.7d,61.9d,480876.0917881259,18632941.375996128,234185.68110400156,5350827.9567441335
200,11.1d,431.3d,5.4d,123.9d,961752.1835762518,37265882.751992255,468371.3622080031,10701655.913488267
300,16.7d,647.0d,8.1d,185.8d,1442628.2753643778,55898824.12798838,702557.0433120047,16052483.870232401
500,27.8d,1078.3d,13.6d,309.7d,2404380.4589406294,93164706.87998064,1170928.4055200077,26754139.78372067
1000,55.7d,2156.6d,27.1d,619.3d,4808760.917881259,186329413.75996128,2341856.8110400154,53508279.56744134
